Year,MU.Name,Location,River.condition.Category,Stream.Name,Affiliation,Collection.Method,Rec.Date,Reach,Rec.Sex,Carc.Cond,Percent.Spawn,POH,Rec.Adipose,Clip.Condition,Pred.Affected,Recovery.Comments,Scalebook.Num,Row.Num,Scale.File,Gilbert.Rich.Age.Scale,European.Age.Scale,Partial.Age.Scale,Otolith.Samples,Otolith.Vial.Num
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-23,6,M,1,NA,63.1,P,NA,,upper punch,13570,2,ch2016-0329,3M,M3,RG,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-23,8,F,1,100,64.2,P,NA,,lower punch,13573,5,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-22,5,F,2,100,62.2,P,NA,,,13583,2,ch2016-0328,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-23,7,F,1,100,62.8,P,NA,,,13567,1,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-16,4,F,2,100,58.8,P,NA,,,13599,5,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-29,6,M,1,NA,68.2,P,NA,,,13555,5,ch2016-0328,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-17,8,M,1,NA,69.9,P,NA,,,13579,2,ch2016-0329,S2,1F,UM,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-13,6,F,1,100,73.5,P,NA,,damaged operc,13560,2,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-29,6,M,1,NA,60.4,P,NA,,,13555,4,ch2016-0328,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-20,5,F,1,100,65.5,P,NA,,,13452,5,ch2016-0329,52,1.3,,,
